id,신고번호,신고일자,신고세관부호,수입신고구분코드,수입거래구분코드,수입종류코드,징수형태코드,운송수단유형코드,신고인부호,수입자,해외거래처부호,특송업체부호,HS10단위부호,적출국가코드,원산지국가코드,관세율,관세율구분코드,원산지표시유무코드,신고중량(KG),과세가격원화금액
0,56839011,2021-01-01,40,B,11,11,11,40,76NV527,SHHZGSL,249LO7A,,7607119000,CN,CN,7.2,FCN1,E,901.2,415092.72
1,64859691,2021-01-01,20,B,11,21,11,10,IP2CUKX,H6W16WM,K6GNOK5,,3215909000,HK,CN,0.0,FCN1,E,400.0,30520.0
2,99950077,2021-01-01,30,B,11,21,14,10,XCIAAPR,PCW8KX7,50REPV8,,6505009090,CN,CN,3.2,FCN1,S,339.0,2610.3
3,22601387,2021-01-01,20,B,11,21,11,40,WOGOUHN,92NKKFG,JX54LI8,,6208921000,CN,CN,13.0,A,E,30.0,2478.0
4,33240058,2021-01-02,16,B,11,21,11,40,BROGNIT,0PSV20Q,TMJHZV9,,9031809070,US,US,1.3,CIT,B,3.0,86125.20000000001
5,83976482,2021-01-02,40,B,11,21,11,40,31R3APF,KRJ3DBE,IU5QO7Q,,304871000,CN,TR,10.0,A,G,5540.9,3073537.23
6,84550856,2021-01-02,12,B,11,21,11,40,NN4BHVR,YKVGSVV,XDCRVOW,,9027909099,NL,CH,0.0,C,S,1.7,622.03
7,22510442,2021-01-02,30,B,11,21,14,10,3HA463C,1GF6R73,PMX1RDG,,8419810000,ES,ES,0.0,FEU1,B,720.0,157680.0
8,29815822,2021-01-02,40,B,87,21,18,40,SM89FYN,VSVO2FY,1VV0DY9,W6UCD9,9607199000,CN,CN,0.0,FCN1,E,3.0,83.1
9,85090055,2021-01-02,70,B,11,21,11,40,DM8H44I,K5NVTI5,8PQJPP6,W6UCD9,8471809000,US,ID,0.0,C,S,6.5,4897.099999999999
10,28783990,2021-01-02,13,B,11,21,43,40,QATKOUT,K66ZHKH,9T7M43P,,8517189000,MY,MY,0.0,C,Y,200.0,740580.0
11,31774394,2021-01-02,30,B,11,21,14,10,IOAZGKI,4213NB3,PPPMIDN,,6108221000,CN,CN,13.0,A,G,110.8,26093.4
12,52240104,2021-01-02,16,B,11,21,18,10,DM8H44I,9LKXO9C,6SRASLK,,6403999000,IT,IT,0.0,FEU1,E,4.0,1005.6
13,95945723,2021-01-02,13,B,11,21,11,10,S1N2WHR,FOL18SY,5PBT67P,,9506409000,CN,CN,0.0,FCN1,G,271.0,77045.3
