,신고번호,우범여부,핵심적발
0,41256141,0,0
1,20889431,0,0
2,25403940,0,0
3,43489778,0,0
4,94895240,0,0
5,81282547,0,0
6,13935563,1,1
7,57224212,0,0
8,21579017,1,1
9,97545517,0,0
10,78445260,0,0
11,50158701,0,0
12,76619244,0,0
13,19399777,0,0
14,77398766,1,1
15,90633984,0,0
16,43352334,0,0
17,17444408,0,0
18,60210534,0,0
19,22375009,0,0
20,20364120,0,0
21,10000192,1,1
22,83726881,0,0
23,66231407,1,1
24,64356058,0,0
25,96907718,0,0
26,61035354,0,0
27,97916469,1,1
28,77871880,0,0
29,42672701,0,0
30,47409182,0,0
31,60150670,0,0
32,69981816,0,0
33,28769564,0,0
34,79963887,1,1
35,92621113,0,0
36,24035216,0,0
37,80142975,0,0
38,27870497,1,1
39,56775700,0,0
40,31184801,0,0
41,73239153,0,0
42,59677353,1,1
43,95399013,0,0
44,20113629,1,1
45,27974740,0,0
46,79447875,0,0
47,91373354,0,0
48,99293207,0,0
49,58517658,0,0
50,37795615,0,0
51,34295234,0,0
52,71136828,0,0
53,63914551,1,1
54,82163953,0,0
55,49978880,0,0
56,76466404,0,0
57,65022237,1,1
58,14510005,0,0
59,86957152,0,0
60,28086209,0,0
61,55724591,0,0
62,93668207,0,0
63,88150030,0,0
64,49945914,0,0
65,84910224,0,0
66,34854746,0,0
67,75503804,0,0
68,90997688,1,1
69,58202458,1,2
70,18415261,1,1
71,35948598,1,1
72,72276819,0,0
73,83345390,0,0
74,45543334,1,1
75,33398830,1,1
76,28788752,0,0
77,88090880,0,0
78,61915114,0,0
79,13177095,1,1
80,21629113,0,0
81,62365905,0,0
82,60834055,0,0
83,78367233,1,1
84,60980398,0,0
85,72300912,0,0
86,55463335,0,0
87,99816809,0,0
88,84726918,0,0
89,69106794,0,0
90,49287797,0,0
91,67270867,0,0
92,84892761,0,0
93,88809887,1,1
94,82690407,1,1
95,67922384,0,0
96,86873276,0,0
97,29854032,0,0
98,71687308,0,0
99,87559831,0,0
100,51141343,0,0
101,56803540,0,0
102,74043884,0,0
103,15518108,0,0
104,35309474,0,0
105,51994807,1,1
106,42383612,0,0
107,49907487,0,0
108,40260545,0,0
109,26449415,0,0
110,99280793,0,0
111,84664048,1,1
112,91382485,0,0
113,19224392,0,0
114,13946084,0,0
115,30950385,0,0
116,81929033,0,0
117,16237218,0,0
118,71237346,0,0
119,40838533,0,0
120,79893033,1,2
121,66761746,0,0
122,71828505,0,0
123,43389630,0,0
124,16513317,0,0
125,13769939,1,1
126,82654468,0,0
127,72280341,0,0
128,23560242,0,0
129,12742124,0,0
130,91604770,0,0
131,55694596,0,0
132,89061912,0,0
133,49355955,0,0
134,90805018,1,1
135,93830510,0,0
136,77241337,0,0
137,64848338,0,0
138,86120212,0,0
139,78359159,0,0
140,24666524,1,1
141,32036647,0,0
142,66127044,0,0
143,22613817,0,0
144,71581722,0,0
145,33236815,0,0
146,40339345,0,0
147,20968962,0,0
148,82227258,0,0
149,62134089,0,0
150,47739528,0,0
151,36550664,0,0
152,24696063,1,1
153,79023168,0,0
154,71165958,0,0
155,47706953,0,0
156,84074283,0,0
157,20899131,1,1
158,26249822,0,0
159,76034336,0,0
160,54524747,0,0
161,95970051,0,0
162,38340339,0,0
163,69251798,0,0
164,14075839,0,0
165,77093640,1,1
166,17436551,0,0
167,19571330,0,0
168,29990255,0,0
169,93485795,0,0
170,90910087,0,0
171,29574908,0,0
172,71574589,0,0
173,18360986,0,0
174,44383562,0,0
175,12382593,0,0
176,56856484,0,0
177,16535518,0,0
178,72085837,0,0
179,62164608,1,1
180,73793465,0,0
181,91974463,1,1
182,65183878,1,1
183,74748898,0,0
184,11482606,1,1
185,38117333,0,0
186,35223617,0,0
187,43365371,1,1
188,87775261,0,0
189,68959651,0,0
190,72606324,0,0
191,48267116,0,0
192,88280164,0,0
193,52655699,0,0
194,97675007,0,0
195,59885302,0,0
196,95291336,0,0
197,46162932,1,1
198,89747303,0,0
199,25329802,0,0
200,41330662,0,0
201,89222300,0,0
202,85709064,0,0
203,69276733,0,0
204,46556343,0,0
205,62029139,0,0
206,55387130,0,0
207,85043596,0,0
208,24651506,0,0
209,29916754,1,1
210,50077088,0,0
211,59363985,0,0
212,89575816,0,0
213,66651078,0,0
214,26664308,0,0
215,48167793,0,0
216,40535132,0,0
217,26182746,0,0
218,14511470,0,0
219,75442821,0,0
220,55929405,0,0
221,49171993,1,1
222,68843314,0,0
223,85713818,0,0
224,12459825,0,0
225,19036409,0,0
226,23218937,1,1
227,75089876,0,0
228,97704580,0,0
229,57174378,0,0
230,61944735,0,0
231,72689939,1,1
232,15082417,0,0
233,44105849,0,0
234,86160201,0,0
235,40630739,1,1
236,96701791,0,0
237,32548159,0,0
238,85821433,1,1
239,52737864,1,1
240,29732688,0,0
241,91926049,1,2
242,85564988,0,0
243,72431433,0,0
244,94358644,1,1
245,13043673,0,0
246,79447329,0,0
247,33331344,1,1
248,11731369,0,0
249,38156028,0,0
250,28042618,1,1
251,16354046,1,1
252,31462952,0,0
253,75233926,0,0
254,31625700,0,0
255,37233956,0,0
256,15949272,0,0
257,20542814,0,0
258,91683779,1,2
259,94954239,1,1
260,88381365,0,0
261,12006879,0,0
262,45315192,0,0
263,83000989,0,0
264,14311767,0,0
265,18083677,0,0
266,45773927,0,0
267,16366055,0,0
268,42740452,0,0
269,36446034,0,0
270,71014691,0,0
271,74347241,0,0
272,77625640,0,0
273,31163152,0,0
274,76699047,0,0
275,76829083,0,0
276,73423592,0,0
277,32240439,0,0
278,92326312,0,0
279,32976720,0,0
280,22153158,0,0
281,33963362,0,0
282,73466040,0,0
283,95027007,0,0
284,20958601,0,0
285,48692004,0,0
286,81487449,0,0
287,24429120,0,0
288,54136307,1,1
289,92848172,0,0
290,69324503,1,1
291,31036756,0,0
292,39720319,0,0
293,55307790,1,1
294,40500958,0,0
295,46868468,0,0
296,95256622,0,0
297,93054292,0,0
298,64278872,1,1
299,64818133,0,0
300,35036849,0,0
301,54402441,1,1
302,35853154,1,1
303,19134461,0,0
304,55926991,0,0
305,94563250,0,0
306,60202744,0,0
307,47199158,0,0
308,99670216,0,0
309,53692130,0,0
310,51974341,1,1
311,51243208,0,0
312,76581922,0,0
313,75395938,0,0
314,59358708,0,0
315,20039166,0,0
316,43637023,1,1
317,38946977,0,0
318,78220276,1,1
319,66938451,0,0
320,77043172,0,0
321,49720771,0,0
322,21084674,0,0
323,39722631,0,0
324,52948128,0,0
325,97887102,0,0
326,47835099,0,0
327,28477826,1,1
328,96980078,1,1
329,86966245,0,0
330,58999663,0,0
331,46121021,0,0
332,38914837,0,0
333,45903660,0,0
334,51892115,1,1
335,45882312,0,0
336,13449393,0,0
337,68963151,0,0
338,29909954,0,0
339,89917667,0,0
340,97703917,0,0
341,90150543,0,0
342,80033029,1,1
343,54648214,0,0
344,34338800,0,0
345,39432214,0,0
346,53991609,0,0
347,24823350,0,0
348,45913870,0,0
349,99193857,0,0
350,83444970,1,1
351,63218469,0,0
352,93002449,1,1
353,35850824,0,0
354,82438963,1,1
355,61209209,0,0
356,95365536,0,0
357,31622141,0,0
358,32330562,0,0
359,48935978,0,0
360,26592325,0,0
361,43239727,0,0
362,92478630,0,0
363,28115793,1,1
364,37626295,1,1
365,12313139,0,0
366,20545629,0,0
367,95340382,0,0
368,18941795,1,1
369,51171762,0,0
370,13425787,0,0
371,14793672,0,0
372,46272898,0,0
373,70160624,0,0
374,35086960,0,0
375,46424918,0,0
376,13994597,0,0
377,61767681,0,0
378,40945237,0,0
379,24500052,0,0
380,17760263,0,0
381,72673041,0,0
382,73539721,0,0
383,34221568,0,0
384,60483329,0,0
385,87820638,0,0
386,18010098,0,0
387,81125518,1,1
388,48082237,0,0
389,68334698,0,0
390,24902334,0,0
391,51632141,0,0
392,66644755,1,1
393,86968045,0,0
394,30068833,0,0
395,94908182,0,0
396,82665120,0,0
397,37579572,0,0
398,78587420,0,0
399,18967041,1,1
400,16933077,0,0
401,27681059,1,1
402,60868770,0,0
403,37397783,1,1
404,20439605,0,0
405,65198842,0,0
406,55319443,1,1
407,77531943,0,0
408,58086281,0,0
409,32268653,0,0
410,47601643,0,0
411,19210381,0,0
412,40273832,0,0
413,90089460,0,0
414,60339107,0,0
415,73099988,0,0
416,38029382,0,0
417,17066956,1,1
418,76247853,0,0
419,30818734,0,0
420,38952850,0,0
421,85593803,0,0
422,23430259,0,0
423,64698978,0,0
424,73331787,1,1
425,10118596,0,0
426,34270020,0,0
427,35783188,0,0
428,21519965,0,0
429,83052759,0,0
430,80680241,0,0
431,11303079,0,0
432,54644804,1,1
433,27658033,0,0
434,21206470,0,0
435,31348532,0,0
436,75939301,0,0
437,14362187,0,0
438,99175439,0,0
439,79348220,1,1
440,89892546,0,0
441,17979703,0,0
442,89995462,1,1
443,21471203,0,0
444,92074762,0,0
445,41377577,0,0
446,45105335,0,0
447,42295974,0,0
448,66206459,0,0
449,33113767,0,0
450,14960159,0,0
451,31364604,0,0
452,15739285,0,0
453,47122477,0,0
454,29407914,1,1
455,90974710,1,1
456,39328665,0,0
457,85133938,0,0
458,93617498,0,0
459,95621016,0,0
460,70297482,0,0
461,96604406,0,0
462,88940682,1,1
463,66079797,0,0
464,85023653,0,0
465,31104766,0,0
466,86770396,0,0
467,74452519,1,1
468,82637242,1,1
469,44049809,0,0
470,23542367,0,0
471,89185644,0,0
472,60299526,0,0
473,36937621,1,1
474,67329992,1,1
475,68233725,0,0
476,50807901,0,0
477,92338073,0,0
478,84465234,0,0
479,85309330,1,1
480,20077958,0,0
481,30648897,0,0
482,93893313,1,1
483,44983411,0,0
484,36599042,0,0
485,51588821,0,0
486,60355886,0,0
487,20398726,0,0
488,76151908,1,1
489,92184740,1,1
490,53683877,0,0
491,25868672,0,0
492,54367745,0,0
493,10859982,0,0
494,22494131,0,0
495,56384598,0,0
496,21841023,1,1
497,54633768,0,0
498,61611548,0,0
499,19674063,0,0
500,67286004,0,0
501,92768165,0,0
502,64198180,0,0
503,20136251,0,0
504,28079416,0,0
505,84724246,0,0
506,57190751,0,0
507,32102086,1,1
508,84975641,0,0
509,90482925,0,0
510,74933075,0,0
511,26487724,0,0
512,97623563,1,1
513,40238616,0,0
514,51168864,0,0
515,10995396,0,0
516,42262528,0,0
517,57890441,0,0
518,41330724,0,0
519,87027691,1,1
520,93779023,0,0
521,99239941,0,0
522,77209268,0,0
523,81831535,1,1
524,77725052,0,0
525,21773378,0,0
526,73647511,0,0
527,83976505,0,0
528,93708339,0,0
529,27324892,0,0
530,11042782,0,0
531,12916735,0,0
532,85115063,0,0
533,49670132,0,0
534,84595259,0,0
535,63643297,0,0
536,25007222,0,0
537,60794125,0,0
538,14980733,0,0
539,74010232,0,0
540,80805721,0,0
541,22305383,0,0
542,12752935,0,0
543,37592244,0,0
544,80397890,0,0
545,85130786,0,0
546,96142591,0,0
547,84275597,0,0
548,12903651,0,0
549,22949066,0,0
550,69110988,0,0
551,88782529,0,0
552,10742849,0,0
553,70215959,0,0
554,32224898,0,0
555,13122865,0,0
556,17971299,0,0
557,90257854,0,0
558,65250533,0,0
559,26878736,0,0
560,41998263,0,0
561,40885493,0,0
562,80348712,0,0
563,46249405,0,0
564,66817148,1,1
565,18095197,1,1
566,91735018,0,0
567,12333138,1,1
568,54439034,1,1
569,48357231,0,0
570,27787811,0,0
571,51829839,1,1
572,84291520,0,0
573,51412128,0,0
574,19234282,0,0
575,76705740,0,0
576,53939472,0,0
577,76587809,0,0
578,95076390,0,0
579,55781570,0,0
580,31896933,0,0
581,75752155,0,0
582,57893136,0,0
583,86217871,0,0
584,99032703,0,0
585,30376371,0,0
586,53625330,1,1
587,50779197,0,0
588,97576600,0,0
589,92624450,0,0
590,68111173,0,0
591,79251344,0,0
592,34818361,1,1
593,21544638,0,0
594,89175073,1,1
595,83407124,0,0
596,12953306,0,0
597,20667247,0,0
598,98331698,0,0
599,95268635,0,0
600,59734381,0,0
601,31463476,0,0
602,69715714,0,0
603,92005585,0,0
604,79490091,1,1
605,79375684,0,0
606,72940438,0,0
607,46491417,0,0
608,87692293,0,0
609,32787602,0,0
610,22753319,0,0
611,79390109,0,0
612,95493817,0,0
613,43074467,0,0
614,67007491,0,0
615,73531597,0,0
616,70422609,1,1
617,27279306,0,0
618,43095366,0,0
619,94903284,0,0
620,71723863,0,0
621,70872800,1,1
622,85557279,0,0
623,68095126,1,1
624,19823417,0,0
625,12455049,1,1
626,30395352,0,0
627,61633659,1,1
628,96237366,0,0
629,26748580,0,0
630,75516394,0,0
631,51291984,1,1
632,57256445,0,0
633,17010598,0,0
634,12978012,0,0
635,55893515,0,0
636,48072371,0,0
637,15384378,0,0
638,78920685,0,0
639,42881168,0,0
640,73702902,0,0
641,86928461,1,1
642,58619521,1,1
643,16558733,0,0
644,33852389,0,0
645,79825486,0,0
646,28193135,0,0
647,48378737,0,0
648,68909833,1,1
649,81315594,0,0
650,87577614,1,1
651,26446964,0,0
652,81888478,0,0
653,50725577,0,0
654,37174579,0,0
655,59422787,0,0
656,88519840,0,0
657,90446678,0,0
658,40326075,1,1
659,25494224,0,0
660,15023540,0,0
661,15996937,0,0
662,79428848,0,0
663,89873054,0,0
664,66390753,0,0
665,44874860,1,1
666,70991884,1,1
667,16480242,0,0
668,87248842,0,0
669,86002669,0,0
670,70298564,0,0
671,36025477,0,0
672,54534363,0,0
673,91890998,0,0
674,79178246,1,1
675,89354172,0,0
676,95793388,1,1
677,80779399,0,0
678,73512643,0,0
679,81194465,1,1
680,49594986,0,0
681,64700783,1,1
682,69063401,0,0
683,67961288,0,0
684,22126458,0,0
685,14954079,0,0
686,15064495,1,1
687,24605469,0,0
688,16787999,0,0
689,28836602,0,0
690,16427958,0,0
691,70201710,0,0
692,79753698,1,1
693,18843739,0,0
694,31710561,0,0
695,18975126,0,0
696,30653033,1,1
697,61006871,0,0
698,27746634,0,0
699,86340075,0,0
700,32552517,0,0
701,91914022,0,0
702,58034908,0,0
703,90656157,0,0
704,90192033,1,1
705,23038975,0,0
706,41378771,0,0
707,89247733,1,1
708,81655395,0,0
709,56001005,0,0
710,69416034,0,0
711,45532408,0,0
712,17885502,0,0
713,42093511,0,0
714,34537224,0,0
715,23796536,0,0
716,69616401,0,0
717,36916026,1,1
718,65991366,1,1
719,10317714,0,0
720,37654966,0,0
721,98211917,0,0
722,66314218,0,0
723,46990309,0,0
724,87760995,0,0
725,92039114,0,0
726,17581261,1,1
727,36355166,0,0
728,18542515,0,0
729,90334333,0,0
730,86290190,0,0
731,90425558,1,1
732,40623728,0,0
733,98179648,0,0
734,77445040,1,1
735,85985193,0,0
736,20611169,0,0
737,14361194,0,0
738,41419632,0,0
739,63773853,0,0
740,77370642,0,0
741,41097998,0,0
742,27556407,0,0
743,77181860,1,1
744,79546072,0,0
745,53943146,1,1
746,31889719,0,0
747,17586992,0,0
748,49218898,1,1
749,96436711,0,0
750,48491805,0,0
751,75369700,0,0
752,11534749,0,0
753,64740442,0,0
754,33076635,0,0
755,36014936,0,0
756,32683406,0,0
757,48940546,0,0
758,35346705,0,0
759,97851764,0,0
760,88896733,0,0
761,96970916,0,0
762,16986443,0,0
763,66778467,0,0
764,24906724,0,0
765,78921990,0,0
766,26552962,0,0
767,24067285,0,0
768,69078727,0,0
769,12519025,0,0
770,48974944,0,0
771,69787707,0,0
772,70390760,0,0
773,48083945,0,0
774,34262843,0,0
775,45993848,0,0
776,23253274,0,0
777,12689739,1,1
778,62760733,0,0
779,84238073,0,0
780,25653512,0,0
781,75510635,0,0
782,75917961,0,0
783,19783320,1,1
784,98315178,0,0
785,19144588,0,0
786,66013923,0,0
787,33277882,0,0
788,14767410,0,0
789,97997902,0,0
790,22410559,0,0
791,13723107,0,0
792,85155509,0,0
793,45385300,0,0
794,88958671,0,0
795,45081591,0,0
796,35276800,0,0
797,61786881,0,0
798,21928206,0,0
799,75334653,0,0
800,58025246,0,0
801,90184557,0,0
802,79122127,0,0
803,43368156,0,0
804,50550985,0,0
805,80240490,0,0
806,36062489,0,0
807,92010868,0,0
808,16755301,0,0
809,14861283,0,0
810,86846827,0,0
811,19571579,1,1
812,42544971,0,0
813,62882159,0,0
814,98058497,0,0
815,58368012,0,0
816,70571069,0,0
817,28252809,0,0
818,81063575,0,0
819,86118358,0,0
820,62105590,1,1
821,92373451,0,0
822,22386094,0,0
823,33539300,0,0
824,99899931,0,0
825,10270619,1,1
826,35841996,0,0
827,40464511,0,0
828,32452606,0,0
829,35755189,1,1
830,70704501,0,0
831,25668218,0,0
832,53458772,0,0
833,29489316,0,0
834,73961824,1,1
835,14181988,0,0
836,68636955,0,0
837,92912485,0,0
838,72637336,0,0
839,68265860,0,0
840,88286440,0,0
841,19382839,0,0
842,53953201,1,1
843,51976445,0,0
844,90761629,0,0
845,92910500,1,1
846,52555522,0,0
847,31603577,0,0
848,89446206,0,0
849,74303608,0,0
850,56412834,0,0
851,40321475,0,0
852,21201164,0,0
853,37412185,0,0
854,31271738,0,0
855,50642855,0,0
856,78932230,1,1
857,74176090,1,1
858,86540086,1,1
859,91710410,0,0
860,15879263,0,0
861,94360791,0,0
862,18299204,0,0
863,79373517,0,0
864,47128265,0,0
865,21374613,0,0
866,31944879,0,0
867,23369589,0,0
868,17269780,0,0
869,27711272,0,0
870,77051182,0,0
871,99307319,0,0
872,62163457,0,0
873,15290879,0,0
874,86318769,0,0
875,37928285,1,1
876,59292832,0,0
877,60033126,1,1
878,17242408,0,0
879,72760257,0,0
880,26743407,1,1
881,48388628,0,0
882,66077489,0,0
883,23028736,0,0
884,57044924,0,0
885,86114363,0,0
886,83377570,0,0
887,37522537,0,0
888,61725164,0,0
889,28078845,0,0
890,72053669,0,0
891,16336601,0,0
892,75571735,1,1
893,59730078,0,0
894,73803035,0,0
895,75602314,0,0
896,10903570,0,0
897,65256440,1,1
898,21089679,0,0
899,78539031,0,0
900,31733786,0,0
901,28727539,1,1
902,58973357,0,0
903,47651170,0,0
904,63593215,0,0
905,37258138,0,0
906,68296168,1,1
907,97251757,1,1
908,65319224,0,0
909,25400773,0,0
910,51470807,0,0
911,75842882,1,1
912,39195217,1,1
913,75583647,1,1
914,21023830,1,1
915,77212933,0,0
916,99064938,1,1
917,76287416,0,0
918,21512975,0,0
919,47433385,0,0
920,56050738,0,0
921,33919952,0,0
922,89758715,1,1
923,29787893,0,0
924,87581111,0,0
925,12114748,0,0
926,79269773,0,0
927,90704648,0,0
928,58307621,0,0
929,50751252,0,0
930,12704512,0,0
931,71702534,0,0
932,51650383,1,1
933,22413101,0,0
934,78545331,0,0
935,61099384,0,0
936,47854338,0,0
937,88092012,1,1
938,86240106,0,0
939,56828146,0,0
940,12332265,0,0
941,40957340,0,0
942,76295125,0,0
943,80819742,0,0
944,85485285,1,1
945,71444856,0,0
946,32955010,0,0
947,37184910,0,0
948,97648293,0,0
949,17614360,0,0
950,67648218,0,0
951,21588366,0,0
952,60899186,0,0
953,45278629,0,0
954,81323364,0,0
955,24769936,0,0
956,20584620,1,1
957,52614525,0,0
958,81043899,0,0
959,11304716,0,0
960,20050020,0,0
961,41683543,0,0
962,98344193,1,1
963,64651711,0,0
964,85701240,0,0
965,38258867,0,0
966,14254704,0,0
967,19249087,0,0
968,84357736,0,0
969,48401050,0,0
970,71204619,0,0
971,80397194,0,0
972,36068176,0,0
973,20494338,0,0
974,40350255,0,0
975,12591489,0,0
976,90414793,1,1
977,46902286,0,0
978,37175005,0,0
979,33469553,0,0
980,46014908,1,1
981,31271259,0,0
982,92744652,0,0
983,96147993,0,0
984,10755459,0,0
985,51247682,0,0
986,84850867,0,0
987,66639366,0,0
988,92894861,1,1
989,49213520,0,0
990,28891388,0,0
991,75107504,0,0
992,49069138,1,1
993,28281579,1,1
994,98599201,0,0
995,70726759,0,0
996,19528957,1,1
997,95625205,0,0
998,39386914,1,1
999,78096645,0,0
1000,74142278,0,0
1001,87542964,0,0
1002,47583445,1,1
1003,25908030,0,0
1004,25106790,0,0
1005,82345181,0,0
1006,85249519,0,0
1007,60730294,0,0
1008,22953481,0,0
1009,10536933,0,0
1010,44274244,0,0
1011,86590687,0,0
1012,83165082,0,0
1013,12120649,0,0
1014,97077500,0,0
1015,17409786,0,0
1016,87388238,0,0
1017,40247928,0,0
1018,56279717,0,0
1019,73260282,0,0
1020,67894285,0,0
1021,84622769,0,0
1022,98441008,0,0
1023,40334289,0,0
1024,31204396,0,0
1025,29629303,0,0
1026,57861316,0,0
1027,21799396,0,0
1028,22855867,0,0
1029,48300961,0,0
1030,17031600,0,0
1031,14144738,1,1
1032,21490474,0,0
1033,51972718,0,0
1034,21240331,0,0
1035,49801238,0,0
