,신고번호,우범여부,핵심적발
0,56839011,0,0
1,64859691,0,0
2,99950077,0,0
3,22601387,0,0
4,33240058,0,0
5,83976482,0,0
6,84550856,0,0
7,22510442,0,0
8,29815822,1,1
9,85090055,1,1
10,28783990,1,1
11,31774394,0,0
12,52240104,0,0
13,95945723,0,0
14,96051053,0,0
15,56499001,0,0
16,79768053,0,0
17,75827114,1,1
18,77749526,0,0
19,36624231,0,0
20,47172033,1,1
21,20039204,0,0
22,59703362,0,0
23,38299153,0,0
24,11807472,0,0
25,46870921,0,0
26,97727992,0,0
27,41089657,0,0
28,62219937,1,1
29,72112620,0,0
30,45963819,0,0
31,84380576,1,1
32,75067684,0,0
33,62036324,0,0
34,68281886,0,0
35,26400876,0,0
36,11426485,0,0
37,98607339,0,0
38,56516247,0,0
39,55640323,0,0
40,54612307,1,1
41,31472839,0,0
42,12831958,0,0
43,62404289,0,0
44,84714803,0,0
45,12165820,0,0
46,64643429,0,0
47,51897594,0,0
48,30146051,0,0
49,94396019,0,0
50,13732951,0,0
51,75205839,0,0
52,49792121,1,2
53,31022693,0,0
54,59144715,0,0
55,80069792,0,0
56,36895761,0,0
57,77815197,0,0
58,87455373,0,0
59,14575181,0,0
60,72986285,0,0
61,41655827,0,0
62,33769613,0,0
63,17332223,0,0
64,55413038,0,0
65,65573601,0,0
66,82013359,0,0
67,99887098,1,1
68,61064793,0,0
69,48656071,0,0
70,62029010,1,1
71,46139860,0,0
72,49506456,0,0
73,85091393,0,0
74,61396165,0,0
75,34278556,0,0
76,70052030,0,0
77,76303185,0,0
78,56174122,0,0
79,98449869,0,0
80,52546038,0,0
81,27546392,0,0
82,88886672,0,0
83,27250724,0,0
84,36424079,0,0
85,56503609,0,0
86,18925572,0,0
87,17139445,0,0
88,35276926,0,0
89,60955340,0,0
90,95425129,0,0
91,29657415,0,0
92,84675251,0,0
93,87604942,0,0
94,35137556,0,0
95,82062293,0,0
96,10368042,0,0
97,56712364,0,0
98,59934271,0,0
99,28655546,0,0
100,47780919,0,0
101,23932111,0,0
102,88297638,0,0
103,13723059,1,1
104,36843519,0,0
105,14107117,0,0
106,99665067,0,0
107,27056097,0,0
108,31244365,1,1
109,52072848,0,0
110,81684633,0,0
111,52913080,0,0
112,82239059,0,0
113,60244324,0,0
114,31371978,0,0
115,94893990,0,0
116,62200363,0,0
117,61312631,0,0
118,70098471,1,1
119,99688380,0,0
120,65996716,0,0
121,68898393,0,0
122,32564087,0,0
123,31005119,0,0
124,51485359,0,0
125,75010320,0,0
126,90076933,1,1
127,51483935,0,0
128,79414781,0,0
129,97384938,0,0
130,21150602,0,0
131,88654599,0,0
132,36672193,0,0
133,96505162,0,0
134,52234192,1,1
135,42814092,0,0
136,30240516,0,0
137,50069384,0,0
138,38987741,0,0
139,30490705,0,0
140,18735196,0,0
141,72277278,0,0
142,55908297,0,0
143,90010748,0,0
144,29521077,1,1
145,70979631,0,0
146,68100668,0,0
147,79767374,0,0
148,48518247,1,1
149,69491993,0,0
150,55245935,1,2
151,66581627,0,0
152,30757614,0,0
153,72013161,0,0
154,79194621,0,0
155,14921296,1,1
156,27075547,0,0
157,17945757,0,0
158,30966742,0,0
159,87861222,0,0
160,31956421,0,0
161,22217274,0,0
162,18291712,0,0
163,31272487,1,1
164,83029687,0,0
165,69467284,0,0
166,47021413,0,0
167,73681479,0,0
168,18536577,1,1
169,52215033,0,0
170,17812399,0,0
171,85667393,0,0
172,76615942,1,1
173,14611015,0,0
174,18566112,0,0
175,52982662,0,0
176,50393567,1,1
177,29443159,1,1
178,51878004,0,0
179,13764995,1,1
180,67634898,0,0
181,77470554,0,0
182,91282656,0,0
183,54937617,0,0
184,58200588,0,0
185,91604066,0,0
186,80732396,0,0
187,76927531,0,0
188,51303640,0,0
189,35904907,0,0
190,50789037,0,0
191,52723169,1,1
192,15685538,0,0
193,14196880,0,0
194,67987880,0,0
195,73052973,0,0
196,17793410,0,0
197,83637828,0,0
198,47450456,0,0
199,49004097,0,0
200,20098415,0,0
201,90111097,0,0
202,88059466,0,0
203,62128197,0,0
204,13561785,0,0
205,10526444,0,0
206,33157984,1,1
207,35713631,0,0
208,48552091,1,1
209,59504758,0,0
210,17163103,1,1
211,31667776,0,0
212,28967290,0,0
213,33302001,0,0
214,16455610,0,0
215,50843133,0,0
216,18521635,0,0
217,60917496,0,0
218,59789216,0,0
219,90744168,0,0
220,45872897,0,0
221,45473980,0,0
222,85360538,0,0
223,63969838,0,0
224,84350476,1,1
225,35179573,0,0
226,48743991,0,0
227,50738975,0,0
228,14723124,0,0
229,69053427,0,0
230,58916376,1,1
231,13910101,0,0
232,72271512,0,0
233,63557857,0,0
234,14399649,1,1
235,32364369,0,0
236,37713291,0,0
237,58011558,0,0
238,93190378,0,0
239,82784877,0,0
240,40666929,0,0
241,95717903,0,0
242,75363865,0,0
243,82845450,0,0
244,79921129,1,1
245,33722670,0,0
246,99658256,0,0
247,63299574,0,0
248,66122002,0,0
249,99654003,0,0
250,78279968,0,0
251,28748278,0,0
252,44319170,1,1
253,58834381,0,0
254,90617554,0,0
255,70335380,0,0
256,77306905,0,0
257,90235571,0,0
258,95643583,0,0
259,89487268,0,0
260,94632804,0,0
261,10936742,1,1
262,59658635,0,0
263,47648515,0,0
264,64822358,0,0
265,56868235,0,0
266,94973230,0,0
267,54897687,0,0
268,34417067,1,1
269,46616858,0,0
270,47932236,0,0
271,60522858,0,0
272,16079457,1,1
273,54247059,0,0
274,12244674,0,0
275,94438269,0,0
276,59423926,0,0
277,24262287,0,0
278,96426158,0,0
279,16567347,1,1
280,81900488,0,0
281,65044368,0,0
282,50147364,0,0
283,70244051,0,0
284,19042845,0,0
285,84443326,0,0
286,35504118,1,1
287,82420232,0,0
288,89598058,0,0
289,28668929,0,0
290,78391246,0,0
291,80668870,0,0
292,84771894,0,0
293,25172212,0,0
294,44366072,0,0
295,82410057,1,1
296,40774518,0,0
297,68788241,1,1
298,28816406,0,0
299,95088596,1,1
300,82642513,0,0
301,36421353,0,0
302,17139896,1,1
303,29519207,0,0
304,79050567,0,0
305,67919630,0,0
306,85556928,0,0
307,70197505,1,1
308,48941783,0,0
309,67744309,0,0
310,93786020,1,1
311,43592550,0,0
312,76854803,0,0
313,11641028,1,1
314,88082695,0,0
315,32808480,0,0
316,68480541,1,1
317,41902284,0,0
318,58086633,0,0
319,19572186,0,0
320,41834900,0,0
321,15205346,0,0
322,53246182,0,0
323,86149330,1,1
324,87428692,0,0
325,37351339,0,0
326,96801662,0,0
327,41657687,0,0
328,15713954,0,0
329,78936149,0,0
330,82856082,0,0
331,92415189,0,0
332,49208151,0,0
333,25321441,0,0
334,46520186,0,0
335,27206945,1,1
336,17160624,1,1
337,40157699,0,0
338,12628814,0,0
339,55911963,0,0
340,65766199,0,0
341,97474838,0,0
342,61428439,0,0
343,50654876,0,0
344,27765264,0,0
345,25710025,1,1
346,82419582,0,0
347,46759073,0,0
348,14066531,0,0
349,51760332,0,0
350,47391769,0,0
351,47155717,0,0
352,18343888,1,1
353,47148459,0,0
354,63903585,1,1
355,68020996,0,0
356,24974595,0,0
357,54338477,0,0
358,22001606,0,0
359,49552066,0,0
360,47119357,1,1
361,67737106,0,0
362,37722485,0,0
363,19555426,0,0
364,64196308,0,0
365,77664554,0,0
366,63832622,0,0
367,60314479,0,0
368,87465351,0,0
369,80479353,0,0
370,67826286,0,0
371,53218069,0,0
372,22862531,0,0
373,48874379,0,0
374,90180816,0,0
375,36331638,0,0
376,60686899,0,0
377,64427096,0,0
378,16520844,0,0
379,60942844,0,0
380,62638185,0,0
381,23077668,0,0
382,11949315,1,1
383,83605087,0,0
384,37760831,0,0
385,92621278,0,0
386,19013698,0,0
387,28510564,0,0
388,60625025,0,0
389,28672468,0,0
390,59238888,0,0
391,98179887,0,0
392,47532189,0,0
393,35475687,1,1
394,30724618,0,0
395,76579678,0,0
396,17351876,0,0
397,70819439,0,0
398,79550220,0,0
399,42943930,0,0
400,66131613,0,0
401,97146623,0,0
402,79549681,0,0
403,57268108,0,0
404,12041441,0,0
405,10150649,0,0
406,45691612,0,0
407,75600991,0,0
408,73406140,0,0
409,45576075,0,0
410,41557175,0,0
411,27545161,0,0
412,55240117,0,0
413,72516385,0,0
414,62742624,0,0
415,82737761,0,0
416,72813783,0,0
417,49966587,0,0
418,78415521,0,0
419,96900952,1,1
420,72292152,0,0
421,77341638,0,0
422,83752588,0,0
423,63869412,1,1
424,77432714,0,0
425,54287219,0,0
426,13431523,0,0
427,93345470,0,0
428,28777338,0,0
429,29058650,0,0
430,41826332,0,0
431,65541527,0,0
432,82436461,0,0
433,32401808,0,0
434,36033571,0,0
435,92017985,0,0
436,47454697,0,0
437,11026533,0,0
438,18213894,0,0
439,14957682,0,0
440,60032761,0,0
441,78961485,0,0
442,67074048,0,0
443,83331799,0,0
444,99810316,1,1
445,72759578,0,0
446,25784223,0,0
447,54868327,0,0
448,18348430,0,0
449,71977382,0,0
450,53561392,0,0
451,53559306,0,0
452,46450951,0,0
453,46084130,1,1
454,81490919,0,0
455,94497352,0,0
456,98549984,1,1
457,38655577,0,0
458,65232013,1,1
459,10807011,0,0
460,86671469,0,0
461,87993123,0,0
462,12985145,1,1
463,99886444,0,0
464,16019644,0,0
465,36938440,0,0
466,54993456,0,0
467,25628022,0,0
468,62073028,0,0
469,71084642,0,0
470,13361663,0,0
471,41217139,0,0
472,24161940,0,0
473,26056168,0,0
474,27100353,0,0
475,65834046,0,0
476,66272645,0,0
477,50034263,0,0
478,79328491,0,0
479,31632620,0,0
480,33682798,0,0
481,46216595,0,0
482,22050993,0,0
483,13100874,0,0
